Plot 1 FLIR USB Video,,,,,,,,,,
,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,33,287,287,166,32,123,276
Location Y,,,,110,60,116,119,60,120,181
Size X,,,,,,,,,,
Size Y,,,,,,,,,,
Surface (pixels),,,,,,,,,,
,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
4/23/2018,4:47:43 PM,567,0,34.70981216,34.75588608,35.45636749,35.89071655,34.43300247,35.81081772,37.47789764
4/23/2018,4:47:43 PM,837,0.27,34.73284912,34.74436951,35.50215912,35.85647964,34.45609283,35.79940033,37.43283081
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.50042343
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.47789764
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.46663284
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.47789764
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.48916245
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.51168823
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.50042343
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.44409943
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.45536423
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.48916245
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.47789764
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.46663284
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.50042343
4/23/2018,4:47:44 PM,108,0.541,34.72133255,34.80194092,35.50215912,35.84506607,34.46763611,35.76514053,37.53421021
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.50042343
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.47789764
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.60174942
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.53421021
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.54546738
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.50042343
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.55672836
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.51168823
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.48916245
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.48916245
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.46663284
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.48916245
4/23/2018,4:47:44 PM,378,0.811,34.76739883,34.82496262,35.50215912,35.86789322,34.47917938,35.79940033,37.43283081
4/23/2018,4:47:44 PM,648,1.081,34.76739883,34.82496262,35.58225632,35.86789322,34.53688049,35.84506607,37.41028976
4/23/2018,4:47:44 PM,648,1.081,34.76739883,34.82496262,35.58225632,35.86789322,34.53688049,35.84506607,37.43283081
4/23/2018,4:47:44 PM,648,1.081,34.76739883,34.82496262,35.58225632,35.86789322,34.53688049,35.84506607,37.44409943
4/23/2018,4:47:44 PM,918,1.351,34.77891541,34.80194092,35.58225632,35.81081772,34.49072266,35.82223511,37.3539238
4/23/2018,4:47:44 PM,918,1.351,34.77891541,34.80194092,35.58225632,35.81081772,34.49072266,35.82223511,37.39901733
4/23/2018,4:47:44 PM,918,1.351,34.77891541,34.80194092,35.58225632,35.81081772,34.49072266,35.82223511,37.39901733
4/23/2018,4:47:44 PM,918,1.351,34.77891541,34.80194092,35.58225632,35.81081772,34.49072266,35.82223511,37.43283081
4/23/2018,4:47:44 PM,918,1.351,34.77891541,34.80194092,35.58225632,35.81081772,34.49072266,35.82223511,37.46663284
4/23/2018,4:47:44 PM,918,1.351,34.77891541,34.80194092,35.58225632,35.81081772,34.49072266,35.82223511,37.47789764
4/23/2018,4:47:44 PM,918,1.351,34.77891541,34.80194092,35.58225632,35.81081772,34.49072266,35.82223511,37.46663284
4/23/2018,4:47:44 PM,918,1.351,34.77891541,34.80194092,35.58225632,35.81081772,34.49072266,35.82223511,37.45536423
4/23/2018,4:47:44 PM,918,1.351,34.77891541,34.80194092,35.58225632,35.81081772,34.49072266,35.82223511,37.45536423
4/23/2018,4:47:44 PM,918,1.351,34.77891541,34.80194092,35.58225632,35.81081772,34.49072266,35.82223511,37.43283081
4/23/2018,4:47:44 PM,918,1.351,34.77891541,34.80194092,35.58225632,35.81081772,34.49072266,35.82223511,37.59049606
4/23/2018,4:47:44 PM,918,1.351,34.77891541,34.80194092,35.58225632,35.81081772,34.49072266,35.82223511,37.54546738
4/23/2018,4:47:44 PM,918,1.351,34.77891541,34.80194092,35.58225632,35.81081772,34.49072266,35.82223511,37.47789764
4/23/2018,4:47:45 PM,189,1.622,34.91700745,34.92850494,35.65087128,35.94775391,34.64066696,35.89071655,37.53421021
4/23/2018,4:47:45 PM,189,1.622,34.91700745,34.92850494,35.65087128,35.94775391,34.64066696,35.89071655,37.44409943
4/23/2018,4:47:45 PM,189,1.622,34.91700745,34.92850494,35.65087128,35.94775391,34.64066696,35.89071655,37.56798553
4/23/2018,4:47:45 PM,189,1.622,34.91700745,34.92850494,35.65087128,35.94775391,34.64066696,35.89071655,37.57923889
4/23/2018,4:47:45 PM,189,1.622,34.91700745,34.92850494,35.65087128,35.94775391,34.64066696,35.89071655,37.50042343
4/23/2018,4:47:45 PM,189,1.622,34.91700745,34.92850494,35.65087128,35.94775391,34.64066696,35.89071655,37.50042343
4/23/2018,4:47:45 PM,189,1.622,34.91700745,34.92850494,35.65087128,35.94775391,34.64066696,35.89071655,37.54546738
4/23/2018,4:47:45 PM,189,1.622,34.91700745,34.92850494,35.65087128,35.94775391,34.64066696,35.89071655,37.46663284
4/23/2018,4:47:45 PM,189,1.622,34.91700745,34.92850494,35.65087128,35.94775391,34.64066696,35.89071655,37.46663284
4/23/2018,4:47:45 PM,189,1.622,34.91700745,34.92850494,35.65087128,35.94775391,34.64066696,35.89071655,37.45536423
4/23/2018,4:47:45 PM,189,1.622,34.91700745,34.92850494,35.65087128,35.94775391,34.64066696,35.89071655,37.47789764
4/23/2018,4:47:45 PM,189,1.622,34.91700745,34.92850494,35.65087128,35.94775391,34.64066696,35.89071655,37.45536423
4/23/2018,4:47:45 PM,729,2.162,34.85948563,34.89400101,35.54793549,35.99336624,34.61761093,35.92494202,37.52294922
4/23/2018,4:47:45 PM,729,2.162,34.85948563,34.89400101,35.54793549,35.99336624,34.61761093,35.92494202,37.47789764
4/23/2018,4:47:45 PM,729,2.162,34.85948563,34.89400101,35.54793549,35.99336624,34.61761093,35.92494202,37.45536423
4/23/2018,4:47:45 PM,729,2.162,34.85948563,34.89400101,35.54793549,35.99336624,34.61761093,35.92494202,37.42156219
4/23/2018,4:47:45 PM,729,2.162,34.85948563,34.89400101,35.54793549,35.99336624,34.61761093,35.92494202,37.45536423
4/23/2018,4:47:45 PM,729,2.162,34.85948563,34.89400101,35.54793549,35.99336624,34.61761093,35.92494202,37.51168823
4/23/2018,4:47:45 PM,999,2.432,34.85948563,34.96300125,35.66230392,36.0389595,34.61761093,35.94775391,37.42156219
4/23/2018,4:47:45 PM,999,2.432,34.85948563,34.96300125,35.66230392,36.0389595,34.61761093,35.94775391,37.39901733
4/23/2018,4:47:45 PM,999,2.432,34.85948563,34.96300125,35.66230392,36.0389595,34.61761093,35.94775391,37.48916245
4/23/2018,4:47:45 PM,999,2.432,34.85948563,34.96300125,35.66230392,36.0389595,34.61761093,35.94775391,37.46663284
4/23/2018,4:47:45 PM,999,2.432,34.85948563,34.96300125,35.66230392,36.0389595,34.61761093,35.94775391,37.48916245
4/23/2018,4:47:46 PM,270,2.703,34.81345367,34.91700745,35.59369659,36.02756119,34.61761093,35.93634796,37.50042343
4/23/2018,4:47:46 PM,540,2.973,34.74436951,34.8479805,35.52505112,36.00476456,34.52534103,35.87930679,37.47789764
4/23/2018,4:47:46 PM,810,3.243,34.89400101,34.85948563,35.58225632,36.050354,34.55995178,35.92494202,37.53421021
4/23/2018,4:47:46 PM,810,3.243,34.89400101,34.85948563,35.58225632,36.050354,34.55995178,35.92494202,37.51168823
4/23/2018,4:47:47 PM,621,4.054,34.8479805,34.77891541,35.61656952,35.97056198,34.58301926,35.92494202,37.46663284
4/23/2018,4:47:47 PM,891,4.324,34.77891541,34.76739883,35.59369659,35.92494202,34.54841614,35.90212631,37.45536423
4/23/2018,4:47:48 PM,162,4.595,34.87099457,34.91700745,35.70801926,35.98196411,34.66371918,35.92494202,37.46663284
4/23/2018,4:47:48 PM,432,4.865,34.83647156,34.89400101,35.68516159,35.97056198,34.6060791,35.97056198,37.52294922
4/23/2018,4:47:48 PM,702,5.135,34.79042816,34.81345367,35.59369659,35.87930679,34.52534103,35.91353607,37.48916245
4/23/2018,4:47:48 PM,972,5.405,34.79042816,34.81345367,35.60513306,35.86789322,34.53688049,35.86789322,37.51168823
4/23/2018,4:47:49 PM,513,5.946,34.82496262,34.8479805,35.69659042,35.97056198,34.57148361,35.90212631,37.52294922
4/23/2018,4:47:49 PM,783,6.216,34.88249969,34.88249969,35.69659042,36.00476456,34.64066696,35.95915604,37.53421021
4/23/2018,4:47:50 PM,54,6.487,34.83647156,34.85948563,35.66230392,36.00476456,34.58301926,35.90212631,37.42156219
4/23/2018,4:47:50 PM,324,6.757,34.88249969,34.81345367,35.63943863,36.08453369,34.59455109,35.90212631,37.39901733
4/23/2018,4:47:50 PM,594,7.027,34.79042816,34.77891541,35.58225632,35.93634796,34.51380157,35.82223511,37.47789764
4/23/2018,4:47:50 PM,864,7.297,34.79042816,34.81345367,35.52505112,35.93634796,34.49072266,35.8336525,37.50042343
4/23/2018,4:47:51 PM,405,7.838,34.70981216,34.73284912,35.47926331,35.91353607,34.43300247,35.82223511,37.44409943
4/23/2018,4:47:51 PM,675,8.108,34.77891541,34.82496262,35.55937576,35.99336624,34.46763611,35.87930679,37.45536423
4/23/2018,4:47:51 PM,945,8.378,34.77891541,34.79042816,35.57081604,36.00476456,34.46763611,35.86789322,37.41028976
4/23/2018,4:47:52 PM,486,8.919,34.75588608,34.75588608,35.52505112,36.02756119,34.39835739,35.84506607,37.41028976
4/23/2018,4:47:52 PM,756,9.189,34.74436951,34.81345367,35.61656952,36.02756119,34.40990448,35.84506607,37.43283081
4/23/2018,4:47:53 PM,27,9.46,34.74436951,34.81345367,35.53649139,36.02756119,34.44454956,35.85647964,37.46663284
4/23/2018,4:47:53 PM,297,9.73,34.70981216,34.80194092,35.61656952,35.98196411,34.43300247,35.86789322,37.44409943
4/23/2018,4:47:53 PM,567,10,34.74436951,34.83647156,35.60513306,35.99336624,34.49072266,35.87930679,37.44409943
4/23/2018,4:47:53 PM,837,10.27,34.70981216,34.77891541,35.58225632,35.93634796,34.45609283,35.84506607,37.39901733
4/23/2018,4:47:54 PM,108,10.541,34.70981216,34.80194092,35.57081604,35.93634796,34.40990448,35.77656174,37.41028976
4/23/2018,4:47:54 PM,378,10.811,34.76739883,34.79042816,35.62800217,35.99336624,34.46763611,35.85647964,37.36520004
4/23/2018,4:47:54 PM,918,11.351,34.74436951,34.83647156,35.55937576,35.97056198,34.49072266,35.84506607,37.39901733
4/23/2018,4:47:55 PM,189,11.622,34.74436951,34.85948563,35.65087128,35.99336624,34.42145538,35.85647964,37.32009125
4/23/2018,4:47:55 PM,459,11.892,34.74436951,34.83647156,35.58225632,36.00476456,34.44454956,35.85647964,37.39901733
4/23/2018,4:47:55 PM,729,12.162,34.77891541,34.81345367,35.55937576,36.01616287,34.50226212,35.87930679,37.39901733
4/23/2018,4:47:55 PM,999,12.432,34.77891541,34.85948563,35.63943863,36.0617485,34.44454956,35.91353607,37.39901733
4/23/2018,4:47:56 PM,270,12.703,34.74436951,34.81345367,35.55937576,35.97056198,34.43300247,35.82223511,37.3877449
4/23/2018,4:47:56 PM,540,12.973,34.81345367,34.91700745,35.65087128,36.00476456,34.50226212,35.89071655,37.43283081
4/23/2018,4:47:57 PM,81,13.514,34.8479805,34.90550613,35.62800217,36.02756119,34.53688049,35.92494202,37.45536423
4/23/2018,4:47:57 PM,351,13.784,34.8479805,34.82496262,35.62800217,36.050354,34.55995178,35.90212631,37.42156219
4/23/2018,4:47:57 PM,621,14.054,34.79042816,34.85948563,35.62800217,36.02756119,34.50226212,35.89071655,37.47789764
4/23/2018,4:47:57 PM,891,14.324,34.83647156,34.89400101,35.63943863,36.0617485,34.58301926,35.89071655,37.53421021
4/23/2018,4:47:58 PM,162,14.595,34.8479805,34.8479805,35.63943863,36.07314301,34.55995178,35.90212631,37.53421021
4/23/2018,4:47:58 PM,702,15.135,34.81345367,34.8479805,35.67373276,36.0389595,34.55995178,35.91353607,37.56798553
4/23/2018,4:47:58 PM,972,15.405,34.83647156,34.87099457,35.63943863,36.0389595,34.50226212,35.89071655,37.57923889
4/23/2018,4:47:59 PM,243,15.676,34.76739883,34.77891541,35.62800217,35.98196411,34.40990448,35.86789322,37.59049606
4/23/2018,4:47:59 PM,513,15.946,34.82496262,34.8479805,35.59369659,36.00476456,34.55995178,35.87930679,37.54546738
4/23/2018,4:47:59 PM,783,16.216,34.79042816,34.88249969,35.63943863,36.050354,34.53688049,35.86789322,37.56798553
4/23/2018,4:48:00 PM,54,16.487,34.73284912,34.75588608,35.51360321,36.02756119,34.47917938,35.79940033,37.50042343
4/23/2018,4:48:00 PM,324,16.757,34.79042816,34.82496262,35.62800217,36.0617485,34.50226212,35.84506607,37.56798553
4/23/2018,4:48:00 PM,864,17.297,34.79042816,34.82496262,35.67373276,36.08453369,34.44454956,35.85647964,37.52294922
4/23/2018,4:48:01 PM,135,17.568,34.68676758,34.69828796,35.53649139,36.00476456,34.40990448,35.77656174,37.52294922
4/23/2018,4:48:01 PM,405,17.838,34.70981216,34.68676758,35.51360321,36.01616287,34.36370087,35.81081772,37.52294922
4/23/2018,4:48:01 PM,675,18.108,34.70981216,34.70981216,35.53649139,35.98196411,34.38680649,35.82223511,37.73672104
4/23/2018,4:48:01 PM,945,18.378,34.69828796,34.68676758,35.54793549,36.00476456,34.38680649,35.82223511,37.79291534
4/23/2018,4:48:02 PM,216,18.649,34.70981216,34.75588608,35.52505112,36.02756119,34.40990448,35.79940033,37.83785248
4/23/2018,4:48:02 PM,486,18.919,34.75588608,34.74436951,35.58225632,35.98196411,34.47917938,35.78798294,37.78167725
4/23/2018,4:48:02 PM,756,19.189,34.77891541,34.77891541,35.53649139,35.98196411,34.49072266,35.85647964,37.82661819
4/23/2018,4:48:03 PM,297,19.73,34.76739883,34.76739883,35.59369659,35.98196411,34.43300247,35.90212631,37.87154388
4/23/2018,4:48:03 PM,567,20,34.73284912,34.74436951,35.58225632,35.99336624,34.49072266,35.87930679,37.92768097
4/23/2018,4:48:03 PM,837,20.27,34.74436951,34.72133255,35.50215912,35.98196411,34.40990448,35.89071655,37.92768097
4/23/2018,4:48:04 PM,108,20.541,34.8479805,34.87099457,35.62800217,36.11870575,34.58301926,35.95915604,37.98378754
4/23/2018,4:48:04 PM,378,20.811,34.83647156,34.77891541,35.59369659,36.07314301,34.50226212,35.94775391,37.81538773
4/23/2018,4:48:04 PM,918,21.351,34.82496262,34.82496262,35.61656952,36.050354,34.59455109,35.95915604,37.75920105
4/23/2018,4:48:05 PM,189,21.622,34.81345367,34.79042816,35.60513306,36.02756119,34.55995178,35.87930679,37.84908295
4/23/2018,4:48:05 PM,459,21.892,34.76739883,34.76739883,35.52505112,35.98196411,34.50226212,35.82223511,37.81538773
4/23/2018,4:48:05 PM,729,22.162,34.85948563,34.8479805,35.67373276,36.050354,34.58301926,35.92494202,37.7142334
4/23/2018,4:48:05 PM,999,22.432,34.89400101,34.87099457,35.75371933,36.10731888,34.59455109,35.94775391,37.7142334
4/23/2018,4:48:06 PM,270,22.703,34.83647156,34.81345367,35.59369659,36.07314301,34.52534103,35.89071655,37.74796295
4/23/2018,4:48:06 PM,540,22.973,34.73284912,34.76739883,35.58225632,36.00476456,34.44454956,35.84506607,37.69174576
4/23/2018,4:48:06 PM,810,23.243,34.80194092,34.82496262,35.63943863,36.02756119,34.49072266,35.87930679,37.69174576
4/23/2018,4:48:07 PM,81,23.514,34.76739883,34.74436951,35.60513306,36.00476456,34.44454956,35.85647964,37.64675522
4/23/2018,4:48:07 PM,621,24.054,34.73284912,34.73284912,35.54793549,36.00476456,34.40990448,35.82223511,37.72547913
4/23/2018,4:48:07 PM,891,24.324,34.73284912,34.73284912,35.51360321,36.050354,34.46763611,35.8336525,37.69174576
4/23/2018,4:48:08 PM,162,24.595,34.79042816,34.73284912,35.59369659,36.10731888,34.53688049,35.90212631,37.77043915
4/23/2018,4:48:08 PM,702,25.135,34.76739883,34.79042816,35.55937576,36.0617485,34.51380157,35.90212631,37.70299149
4/23/2018,4:48:08 PM,972,25.405,34.77891541,34.82496262,35.55937576,36.02756119,34.50226212,35.87930679,37.70299149
4/23/2018,4:48:09 PM,243,25.676,34.73284912,34.76739883,35.58225632,36.02756119,34.46763611,35.85647964,37.62425613
4/23/2018,4:48:09 PM,513,25.946,34.76739883,34.77891541,35.58225632,36.050354,34.43300247,35.84506607,37.73672104
4/23/2018,4:48:09 PM,783,26.216,34.74436951,34.75588608,35.57081604,36.050354,34.42145538,35.86789322,37.6692543
4/23/2018,4:48:10 PM,54,26.487,34.81345367,34.80194092,35.61656952,36.00476456,34.50226212,35.90212631,37.6692543
4/23/2018,4:48:10 PM,324,26.757,34.75588608,34.76739883,35.57081604,36.02756119,34.43300247,35.93634796,37.7142334
4/23/2018,4:48:10 PM,864,27.297,34.77891541,34.70981216,35.52505112,36.00476456,34.47917938,35.89071655,37.77043915
4/23/2018,4:48:11 PM,135,27.568,34.72133255,34.67524338,35.54793549,35.95915604,34.34059143,35.79940033,37.73672104
4/23/2018,4:48:11 PM,405,27.838,34.82496262,34.74436951,35.57081604,36.01616287,34.38680649,35.86789322,37.74796295
4/23/2018,4:48:11 PM,675,28.108,34.76739883,34.67524338,35.49071121,36.02756119,34.44454956,35.87930679,37.74796295
4/23/2018,4:48:11 PM,945,28.378,34.75588608,34.74436951,35.60513306,36.050354,34.35214615,35.84506607,37.79291534
4/23/2018,4:48:12 PM,216,28.649,34.76739883,34.77891541,35.58225632,36.0389595,34.42145538,35.86789322,37.80414963
4/23/2018,4:48:12 PM,486,28.919,34.76739883,34.79042816,35.60513306,36.02756119,34.42145538,35.87930679,37.72547913
4/23/2018,4:48:13 PM,27,29.46,34.80194092,34.76739883,35.63943863,36.07314301,34.39835739,35.91353607,37.73672104
4/23/2018,4:48:13 PM,297,29.73,34.80194092,34.75588608,35.59369659,36.00476456,34.34059143,35.85647964,37.74796295
4/23/2018,4:48:13 PM,567,30,34.76739883,34.73284912,35.55937576,35.97056198,34.32903671,35.87930679,37.77043915
4/23/2018,4:48:13 PM,837,30.27,34.77891541,34.73284912,35.59369659,35.94775391,34.36370087,35.85647964,37.7142334
4/23/2018,4:48:14 PM,108,30.541,34.76739883,34.72133255,35.61656952,35.93634796,34.40990448,35.89071655,37.63550568
4/23/2018,4:48:14 PM,378,30.811,34.90550613,34.82496262,35.61656952,36.00476456,34.52534103,35.97056198,37.63550568
4/23/2018,4:48:14 PM,648,31.081,34.77891541,34.72133255,35.53649139,35.98196411,34.36370087,35.87930679,37.68050003
4/23/2018,4:48:14 PM,918,31.351,34.81345367,34.74436951,35.57081604,35.99336624,34.44454956,35.87930679,37.64675522
4/23/2018,4:48:15 PM,459,31.892,34.75588608,34.74436951,35.66230392,36.050354,34.40990448,35.93634796,37.61300278
4/23/2018,4:48:15 PM,729,32.162,34.8479805,34.76739883,35.63943863,36.10731888,34.49072266,35.98196411,37.68050003
4/23/2018,4:48:15 PM,999,32.432,34.74436951,34.66371918,35.51360321,36.02756119,34.37525177,35.89071655,37.69174576
4/23/2018,4:48:16 PM,270,32.703,34.70981216,34.65219498,35.49071121,35.99336624,34.39835739,35.8336525,37.68050003
4/23/2018,4:48:16 PM,540,32.973,34.83647156,34.68676758,35.59369659,36.050354,34.45609283,35.87930679,37.63550568
4/23/2018,4:48:17 PM,81,33.514,34.80194092,34.70981216,35.60513306,36.00476456,34.51380157,35.91353607,37.74796295
4/23/2018,4:48:17 PM,351,33.784,34.85948563,34.69828796,35.58225632,35.97056198,34.46763611,35.89071655,37.87154388
4/23/2018,4:48:17 PM,621,34.054,34.81345367,34.75588608,35.53649139,35.98196411,34.53688049,35.90212631,37.80414963
4/23/2018,4:48:17 PM,891,34.324,34.80194092,34.66371918,35.53649139,36.02756119,34.43300247,35.90212631,37.77043915
4/23/2018,4:48:18 PM,432,34.865,34.79042816,34.67524338,35.57081604,36.02756119,34.46763611,35.89071655,37.75920105
4/23/2018,4:48:18 PM,702,35.135,34.75588608,34.66371918,35.54793549,36.00476456,34.40990448,35.85647964,37.84908295
